	管線材質	ORDER_SEQ	品名	SIZE1	SIZE2	SCH1	SCH2	SIZE_LAYOUT	厚度	UNIT	IDENT_CODE	中文說明	用料時機	採購量	可領用量	合計	合計2	項目	設計需求	採購需求	缺料狀況	7月2日	7月9日	7月10日	7月11日	8月15日	8月22日	8月24日	重組
107	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.5	 	S-160	 	"1/2"" S-160"	4.78	M	P64075	鋼管	預製					B	0.4	6	-6	0	0	0	0	0	0	0	P64075_B
108	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.5	 	S-160	 	"1/2"" S-160"	4.78	M	P64075	鋼管	預製					D	0.0	0	0	0	0	0	0	0	0	0	P64075_D
109	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.5	 	S-160	 	"1/2"" S-160"	4.78	M	P64075	鋼管	預製					E	0.0	0	0	0	0	0	0	0	0	0	P64075_E
110	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE(IMPACT TEST at -1 DEG. C)	8	 	S-140	 	"8"" S-140"	20.62	M	P44818	鋼管	預製	48.0		41.9	41.9	-	0.0	0	0	0	0	0	0	0	0	30	P44818_-
111	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE(IMPACT TEST at -1 DEG. C)	8	 	S-140	 	"8"" S-140"	20.62	M	P44818	鋼管	預製					A	0.0	0	0	0	0	0	0	0	0	0	P44818_A
112	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE(IMPACT TEST at -1 DEG. C)	8	 	S-140	 	"8"" S-140"	20.62	M	P44818	鋼管	預製					B	39.0	48	-18	0	0	0	0	0	0	0	P44818_B
113	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE(IMPACT TEST at -1 DEG. C)	8	 	S-140	 	"8"" S-140"	20.62	M	P44818	鋼管	預製					D	2.9	6	-6	0	0	0	0	0	0	0	P44818_D
114	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE(IMPACT TEST at -1 DEG. C)	8	 	S-140	 	"8"" S-140"	20.62	M	P44818	鋼管	預製					E	0.0	0	0	0	0	0	0	0	0	0	P44818_E
115	碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	1.5	 	S-80	 	"1-1/2"" S-80"	5.08	M	P24908	鋼管	預製	624.0		304.8	304.8	-	0.0	0	0	0	0	0	0	0	0	0	P24908_-
116	碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	1.5	 	S-80	 	"1-1/2"" S-80"	5.08	M	P24908	鋼管	預製					A	301.6	330	0	330	0	0	0	0	0	0	P24908_A
117	碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	1.5	 	S-80	 	"1-1/2"" S-80"	5.08	M	P24908	鋼管	預製					B	0.3	0	0	0	0	0	0	0	0	0	P24908_B
118	碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	1.5	 	S-80	 	"1-1/2"" S-80"	5.08	M	P24908	鋼管	預製					D	2.9	6	0	6	0	0	0	0	0	0	P24908_D
119	碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	1.5	 	S-80	 	"1-1/2"" S-80"	5.08	M	P24908	鋼管	預製					E	0.0	0	0	0	0	0	0	0	0	0	P24908_E
120	碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	1	 	S-160	 	"1"" S-160"	6.35	M	P24900	鋼管	預製	6.0		4.6	4.6	-	0.0	0	0	0	0	0	0	0	0	0	P24900_-
121	碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	1	 	S-160	 	"1"" S-160"	6.35	M	P24900	鋼管	預製					A	0.0	0	0	0	0	0	0	0	0	0	P24900_A
122	碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	1	 	S-160	 	"1"" S-160"	6.35	M	P24900	鋼管	預製					B	4.6	6	-6	0	0	0	0	0	0	0	P24900_B
123	碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	1	 	S-160	 	"1"" S-160"	6.35	M	P24900	鋼管	預製					D	0.0	0	0	0	0	0	0	0	0	0	P24900_D
