管線材質,ORDER_SEQ,0,SIZE1,SIZE2,SCH1,SCH2,SIZE_LAYOUT,厚度,UNIT,IDENT_CODE,用料時機,採購量,可領用量,合計,合計2,項目,設計需求,採購需求,缺料狀況,7月2日,7月9日,7月10日,7月11日,8月15日
碳鋼,301,45 ELBOW SMLS BW CS A234-WPB  ASME  NACE,6, ,S-40, ,"6"" S-40",7.11,PC,N214200,預製,5,,2,2,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,2,2,-2,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,301,45 ELBOW SMLS BW CS A234-WPB  ASME  NACE,4, ,S-120, ,"4"" S-120",11.13,PC,N147272,預製,2,,2,2,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,2,2,-2,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,301,45 ELBOW SMLS BW CS A234-WPB  ASME  NACE,4, ,S-40, ,"4"" S-40",6.02,PC,N214158,預製,5,,2,2,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,2,0,0
,,,,,,,,,,,,,,,,B,2,2,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,301,45 ELBOW SMLS BW CS A234-WPB  ASME  NACE,2, ,S-160, ,"2"" S-160",8.74,PC,N121689,預製,3,,3,3,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,3,3,-2,1,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,301,45 ELBOW SMLS BW CS A234-WPB  ASME  NACE,2, ,S-80, ,"2"" S-80",5.54,PC,N119063,預製,5,,2,2,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,2,2,0,2,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,301,45 ELBOW SMLS BW CS A234-WPB  ASME  NACE,1, ,S-160, ,"1"" S-160",6.35,PC,N89655,預製,1,,1,1,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,1,1,0,1,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,301,45 ELBOW SMLS BW CS A234-WPB  ASME  NACE,0.75, ,XXS, ,"3/4"" XXS",7.82,PC,N103553,預製,1,,1,1,-,0,0,0,0,0,0,0,0
